,slang,formal
2263,mnerima,menerima
2264,baikxa,baiknya
2265,aaamin,amin
2266,ma,sama
2267,ma,sama
2268,sdh,sudah
2269,gk,enggak
2270,amienn,amien
2271,sekangen2,sekangen-kangen
2272,sm,sama
2273,met,selamat
2274,jln,jalan
2275,amiin,amin
2276,aamiin,amin
2277,kt,kita
2278,kmu,kamu
2279,sdh,sudah
2280,gak,enggak
2281,tpi,tapi
2282,aminnnn,amin
2283,amiiiiiiiiiinnnnnnn,amin
2284,nolongin,menolong
2285,amiiiiiiiiiiin,amin
2286,seluru,seluruh
2287,aminn,amin
2288,alloh,allah
2289,amiennn,amien
2290,amiiiin,amin
2291,amiiiin,amin
2292,gak,enggak
2293,ngk,enggak
2294,ngak,enggak
2295,ngak,enggak
2296,gak,enggak
2297,bnget,banget
2298,klow,kalau
2299,tebir,ribet
2300,doangam,doang
2301,"tebir""",ribet-ribet
2302,amad,amat
2303,mkst,maksud
2304,jgn,jangan
2305,sm,sama
2306,ae,saja
2307,wong2,wong-wong
2308,lau,kau
2309,rempong,repot
2310,ngurusin,mengurusi
2311,kerjaan,pekerjaan
2312,bingittzz,banget
2313,dgn,dengan
2314,bangets,banget
2315,ajaa,saja
2316,jg,juga
2317,bngt,banget
2318,ikh,ih
2319,kk,kakak
2320,aq,aku
2321,dwh,deh
2322,pulak,pula
2323,nengok,menengok
2324,bante,bantai
2325,la,lah
2326,ngomong,mengomong
2327,komenannya,komentarnya
2328,hadapin,menghadapi
2329,dengarin,mendengarkan
2330,bru,baru
2331,gk,enggak
2332,ush,usah
2333,sma,sama
2334,gpp,enggak apa-apa
2335,cock,cocok
2336,widihh,waduh
2337,bner,benar
2338,mantepp,mantap
2339,dehh,deh
2340,itungan,hitungan
2341,cita2,cita-cita
2342,temen-temen,teman-teman
2343,stu,satu
2344,syratnya,syaratnya
2345,klo,kalo
2346,skrg,sekarang
2347,skrg,sekarang
2348,mksh,terima kasih
2349,bgt,banget
2350,smoga,semoga
2351,pnjang,panjang
2352,shat,sehat
2353,slalu,selalu
2354,inginkn,inginkan
2355,ank,anak
2356,belanjaa,belanja
2357,disiniii,disini
2358,buktiin,buktikan
2359,burem,buram
2360,tlp,telepon
